Team,Group,Furthest Stage
QATAR,Group A,Group Stages
ECUADOR,Group A,Group Stages
ENGLAND,Group B,Quarter-final
IRAN,Group B,Group Stages
SENEGAL,Group A,Round of 16
NETHERLANDS,Group A,Quarter-final
UNITED STATES,Group B,Round of 16
WALES,Group B,Group Stages
ARGENTINA,Group C,Final
SAUDI ARABIA,Group C,Group Stages
DENMARK,Group D,Group Stages
TUNISIA,Group D,Group Stages
MEXICO,Group C,Group Stages
POLAND,Group C,Round of 16
FRANCE,Group D,Final
AUSTRALIA,Group D,Round of 16
MOROCCO,Group F,Play-off for third place
CROATIA,Group F,Play-off for third place
GERMANY,Group E,Group Stages
JAPAN,Group E,Round of 16
SPAIN,Group E,Round of 16
COSTA RICA,Group E,Group Stages
BELGIUM,Group F,Group Stages
CANADA,Group F,Group Stages
SWITZERLAND,Group G,Round of 16
CAMEROON,Group G,Group Stages
URUGUAY,Group H,Group Stages
KOREA REPUBLIC,Group H,Round of 16
PORTUGAL,Group H,Quarter-final
GHANA,Group H,Group Stages
BRAZIL,Group G,Quarter-final
SERBIA,Group G,Group Stages
