Team,Games Played,Goals Scored,Goals Conceded
FRANCE,7,16,8
MOROCCO,7,6,5
ARGENTINA,7,15,8
CROATIA,7,8,7
ENGLAND,5,13,4
PORTUGAL,5,12,6
NETHERLANDS,5,10,4
BRAZIL,5,8,3
KOREA REPUBLIC,4,5,8
AUSTRALIA,4,4,6
POLAND,4,3,5
SPAIN,4,9,3
UNITED STATES,4,3,4
SWITZERLAND,4,5,9
JAPAN,4,5,4
SENEGAL,4,5,7
URUGUAY,3,2,2
GERMANY,3,6,5
ECUADOR,3,4,3
CANADA,3,2,7
GHANA,3,5,7
COSTA RICA,3,3,11
MEXICO,3,2,3
QATAR,3,1,7
DENMARK,3,1,3
TUNISIA,3,1,1
SAUDI ARABIA,3,3,5
BELGIUM,3,1,2
SERBIA,3,5,8
CAMEROON,3,4,4
WALES,3,1,6
IRAN,3,4,7
